standort_equipment;technplatzbezeichng;equipment;equipmentname;ort;wirtschaftseinheit;hersteller;baujahr;antriebsart;anzahl_haltestellen;anzahl_tueren_kabine;anzahl_tueren_schacht;foerdergeschwindigkeit;foerderhoehe;lage;tragkraft;erweiterte_ortsangabe;min_tuerbreite;kabinentiefe;kabinenbreite;kabinenhoehe;tuerhohe;fabriknummer;tuerart;geokoordinaterechtswert;geokoordinatehochwert;ausftextlichebeschreibung
BAHNSTEIG 1;Bahnsteig 01 Richtung Aachen;10001649;Personenaufzug;Aachen Schanz;7205;OTIS GmbH & Co. OHG;2004;SEIL;     2;     2;     2;     1;     6;;    1000;;;;;;;;;;;Aufzug zu Bstg 1 Richtung Aachen
BAHNSTEIG 6/7;Bahnsteig 02 Richtung MG;10001650;Personenaufzug;Aachen Schanz;7205;OTIS GmbH & Co. OHG;2005;SEIL;     2;     2;     2;     1;     4,97;;    1000;;;;;;;;;;;Aufzug zu Gleis 6/7 Richtung MG
IM BF AU/SIEG 1;Bahnsteig 02 (Mittelbahnsteig);10003481;HA 1013 Personenaufzug Gleis 2/3;Au (Sieg);204;Thyssen Krupp AG;2007;SEIL;     2;     2;     2;     0,4;     4,46;NEBEN;    630;;;;;;;;;    3405301,017;    5627341,9400000004;Aufzug zu Gleis 2/3
S-BAHN;Bahnsteig 01 (Hausbahnsteig);10003482;HA 1016 Personenaufzug Gl.1;Au (Sieg);204;Thyssen Krupp AG;2008;SEIL;     2;     2;     2;     0,4;     4,46;NEBEN;    675;;;;;;;;;    3405304,764;    5627326,5219999999;Aufzug zu Gleis 1
TUNNEL ZUM EG;Empfangsgebäude;10004693;Personenaufzug;Bad Oldesloe;317;Rud. Prey GmbH & Co. KG;1998;HYDRAULISCH;     2;     2;     2;     0,4;     4,96;NEBEN;    1000;;;;;;;;;;;Aufzug zwischen Gleis 3 und Tunnel (Erdgeschoss)
GLEIS 4+5 ZUM TUNNEL;Bahnsteig 2 Gl. 4;10004708;Personenaufzug;Bad Oldesloe;317;Rud. Prey GmbH & Co. KG;1998;HYDRAULISCH;     2;     2;     2;     0,4;     6;NEBEN;    1000;;;;;;;;;    3591173,983;    5964675,7529999996;Aufzug zwischen Gleis 4/5 und Tunnel
GL 6/7;Bahnsteig 4 Gl. 6/7;10004710;Personenaufzug;Bad Oldesloe;317;Rud. Prey GmbH & Co. KG;1998;HYDRAULISCH;     2;     2;     3;     0,4;     6;NEBEN;    1000;;;;;;;;;    3591162,6660000002;    5964689,54;Aufzug zu Gleis 6/7
MITBENUTZUNG PÄCHTER;Erdgeschoss;10005708;Personenaufzug Schräg HA 029;Barmbek;412;Koch Aufzügs-Service GmbH;1991;SEIL;     2;     2;     2;     0,5;     2,27;;    1000;;;;;;;;;;;
BAYERWERK/ BAUWERK;S-Bahnsteig 01;10006118;HA 0006 (HA 261) Aufzugsanlage;Leverkusen Chempark;437;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;     5,5;;    630;;;;;;;;;    3359480,645;    5654814,4560000002;
BAHNSTEIG 1;Bahnsteig 1, Gleis 1;10006121;Aufzug HA 2026;Bayreuth Hbf;439;Thyssen Krupp AG;2000;HYDRAULISCH;     2;     2;     2;     0,2;     4;GLEIS 1;    1052;BAHNSTEIGMITTE;    900;    2100;    1100;    2150;    2000;252527514;ES2;;;Aufzug zu Gleis 1
